Title,Product URL,SKU,Image URL,Price,Stock,Available,Option#1
"Ethanol 96% AR Grade Glass Bottle Lab Use – 2,5l",https://labequipsupply.co.za/product/ethanol-96-ar-grade-glass-bottle-lab-use/,CHE-E8,https://labequipsupply.co.za/wp-content/uploads/2021/02/Ethanol-99�-GR-grade-1.jpg,R608.28,,Yes,
Hydrazine Sulphate AR – 500g,https://labequipsupply.co.za/product/hydrazine-sulphate-ar/,CHE-H3,https://labequipsupply.co.za/wp-content/uploads/2021/02/Hydrazine-Sulphate.jpg,R473.64,155 in stock (can be backordered),Yes,
"Ethyl Acetate AR – 2,5l",https://labequipsupply.co.za/product/ethyl-acetate-ar/,CHE-E20,https://labequipsupply.co.za/wp-content/uploads/2021/02/Ethyl-Acetate.jpg,R135.36,,Yes,
Nickel Sulphate AR – 500g,https://labequipsupply.co.za/product/nickel-sulphate-ar/,CHE-N1,https://labequipsupply.co.za/wp-content/uploads/2021/02/Nickel-Sulphate.jpg,R334.56,,Yes,
Oxalic Acid Crystal AR – 500g,https://labequipsupply.co.za/product/oxalic-acid-crystal-ar/,CHE-O1,https://labequipsupply.co.za/wp-content/uploads/2021/02/RLS-Chemicals-Oxalic-Acid-AR1.jpg,R98.85,,Yes,
Paraformaldehyde AR – 500g,https://labequipsupply.co.za/product/paraformaldehyde-ar/,CHE-P1,https://labequipsupply.co.za/wp-content/uploads/2021/02/Paraformaldehyde.jpg,R129.26,,Yes,
"Perchloric Acid 70% AR – 2,5l",https://labequipsupply.co.za/product/perchloric-acid-70-ar/,CHE-P3,https://labequipsupply.co.za/wp-content/uploads/2021/02/RLS-Chemicals-Perchloric-acid-70.jpg,"R2,752.78",,Yes,
Potassium Carbonate AR – 500g,https://labequipsupply.co.za/product/potassium-carbonate-ar/,CHE-P10,https://labequipsupply.co.za/wp-content/uploads/2021/02/RLS-Chemicals-Potassium-Carbonate-AR-1.jpg,R103.40,,Yes,
Potassium Chloride AR – 500g,https://labequipsupply.co.za/product/potassium-chloride-ar/,CHE-P12,https://labequipsupply.co.za/wp-content/uploads/2021/02/Potassium-Chloride.jpg,R91.24,,Yes,
Potassium Iodide AR – 500g,https://labequipsupply.co.za/product/potassium-iodide-ar/,CHE-P14,,"R1,350.59",29 in stock (can be backordered),Yes,
Potassium Nitrate AR – 500g,https://labequipsupply.co.za/product/potassium-nitrate-ar/,CHE-P20,https://labequipsupply.co.za/wp-content/uploads/2021/02/RLS-Chemicals-Potassium-Nitrate-AR-1.jpg,R106.44,,Yes,
Potassium Iodate AR – 500g,https://labequipsupply.co.za/product/potassium-iodate-ar/,CHE-P16,https://labequipsupply.co.za/wp-content/uploads/2021/02/WhatsApp-Image-2022-04-13-at-2.32.01-PM.jpeg,"R1,635.75",12 in stock (can be backordered),Yes,
Potassium Permanganate AR – 500g,https://labequipsupply.co.za/product/potassium-permanganate-ar/,CHE-P22,https://labequipsupply.co.za/wp-content/uploads/2021/02/Potassium-Permanganate.jpg,R149.04,,Yes,
Silica Gel Non Indictating Beads 3-5MM – 500g,https://labequipsupply.co.za/product/silica-gel-non-indicating-beads-3-5mm/,CHE-S2,https://labequipsupply.co.za/wp-content/uploads/2021/02/Silica-gel-blue.jpg,R88.19,315 in stock (can be backordered),Yes,
